key,name,latitude,longitude,address,pub_start,pub_end,tel,opentime,wifi,newlatte
1,カフェゴーガ お茶の水店,35.7001436613,139.761901738,東京都千代田区神田駿河台,,,03-3293-8835,月～土： 07:00～22:00    日祝： 08:00～21:00定休日： 不定休,1,0
10,カフェゴーガ 南青山２丁目店,35.6699633342,139.717392379,東京都港区南青山2-26-37ＮＸＢ青山1F,,,03-5410-3363,"月～金： 07:00～22:00
    土： 08:00～22:00
    日祝： 08:00～21:00
定休日： 不定休
",1,0
100,カフェゴーガ 赤坂見附店,35.6772512074,139.735675525,東京都港区赤坂3-21-20赤坂ロングビーチビル1F,,,03-5570-1305,"月～金： 07:00～22:00
    土： 07:00～20:00
    日祝： 08:00～19:00
定休日： 不定休
",1,1
101,カフェゴーガ 仙川駅前店,35.6613838978,139.585804258,東京都調布市仙川町1-49-2パール仙川1F,,,03-5384-6150,"07:00～22:30
定休日： 不定休
",1,1
102,カフェゴーガ 茅ヶ崎スルガビル店,35.3311024839,139.406617126,神奈川県茅ヶ崎市元町2-3Ｇ．Ｃ．ＣＨＩＧＡＳＡＫＩ3F,,,0467-58-2139,"07:00～22:30
定休日： 不定休
",1,0
103,カフェゴーガ 横浜ビブレ店,35.4648677133,139.61865169,神奈川県横浜市西区南幸2-15-13横浜ビブレ1F,,,045-321-0681,"08:00～23:00
定休日： 不定休
",1,1
104,カフェゴーガ ベストウェスタンホテル名古屋栄4丁目店,35.1691209758,136.913048062,愛知県名古屋市中区栄4-6-1ベストウェスタンホテル名古屋,,,052-251-7773,"月～木： 07:00～22:00
    金土： 07:00～22:30
    日祝： 07:00～22:00
定休日： 不定休
",1,0
105,カフェゴーガ 水道橋後楽森ビル店,35.7034761462,139.749637603,東京都文京区後楽1-4-14後楽森ビル1F,,,03-5802-3901,"月～金： 07:00～21:00
    土日祝： 08:00～20:00
定休日： 不定休
",1,1
106,カフェゴーガ 桜木町駅前店,35.4508505654,139.632492298,神奈川県横浜市中区桜木町1-101-1クロスゲート2F,,,045-683-3162,"07:00～22:30
定休日： 不定休
",1,0
107,カフェゴーガ さいたま新都心店,35.8932432181,139.630849008,埼玉県さいたま市中央区新都心10けやきひろば（013区画）,,,048-601-0057,"月～木： 07:00～22:00
    金： 07:00～22:30
    土： 08:00～22:30
    日祝： 08:30～22:00
定休日： 不定休
",1,1
108,カフェゴーガ 自由が丘駅前店,35.607888577,139.669236459,東京都目黒区自由が丘1-11-6丸栄ビル1F,,,03-3725-8471,"07:00～23:00
定休日： 不定休
",1,1
109,カフェゴーガ IWATAYA本店本館店,33.5889314674,130.397780801,福岡県福岡市中央区天神2-5-35岩田屋本店本館１Ｆ,,,092-732-8361,"月～木： 08:00～22:00
    金土： 08:00～23:00
    日祝： 08:00～22:00
定休日： 不定休
",0,1
11,カフェゴーガ 新宿サザンテラス店,35.6878994503,139.700285197,東京都渋谷区代々木2-2-1新宿サザンテラス内,,,03-3370-3255,"月～木： 07:00～22:30
    金土： 07:00～23:00
    日祝： 07:00～22:30
定休日： 不定休
",1,0
110,カフェゴーガ 京橋 京阪モール店,34.6969109726,135.532059773,大阪府大阪市都島区東野田町2-1-38京阪モール2F,,,06-6351-8919,"月～金： 07:00～23:00
    土日祝： 08:00～23:00
定休日： 不定休
",1,1
